id,date,ret,mcap
43707610,2019-07-31,0.027503967,194328.42
43707610,2019-08-30,0.06654501,194328.42
43707610,2019-09-30,0.024000645,194328.42
43707610,2019-10-31,0.011033535,194328.42
25468710,2018-12-31,-0.04294741,164475
25468710,2019-01-31,0.0170542,164475
25468710,2019-02-28,0.01183641,164475
25468710,2019-03-29,-0.016040385,164475
25468710,2019-04-30,0.23363054,164475
25468710,2019-05-31,-0.035993338,164475
25468710,2019-06-28,0.057558417,164475
25468710,2019-07-31,0.030435324,164475
25468710,2019-08-30,-0.040206966,164475
25468710,2019-09-30,-0.050560894,164475
25468710,2019-10-31,-0.0030694604,164475
45814010,2018-12-31,-0.048266115,211935.88
45814010,2019-01-31,0.004048586,211935.88
45814010,2019-02-28,0.13062393,211935.88
45814010,2019-03-29,0.013972878,211935.88
45814010,2019-04-30,-0.04953444,211935.88
45814010,2019-05-31,-0.13097567,211935.88
45814010,2019-06-28,0.0869664,211935.88
45814010,2019-07-31,0.055984974,211935.88
45814010,2019-08-30,-0.05588526,211935.88
45814010,2019-09-30,0.08690143,211935.88
45814010,2019-10-31,0.09703088,211935.88
91324P10,2018-12-31,-0.1145863,239155.19
91324P10,2019-01-31,0.08461798,239155.19
91324P10,2019-02-28,-0.10355293,239155.19
91324P10,2019-03-29,0.02452314,239155.19
91324P10,2019-04-30,-0.057388964,239155.19
91324P10,2019-05-31,0.037456512,239155.19
91324P10,2019-06-28,0.01360631,239155.19
91324P10,2019-07-31,0.020491004,239155.19
91324P10,2019-08-30,-0.060278654,239155.19
91324P10,2019-09-30,-0.06666666,239155.19
91324P10,2019-10-31,0.16280138,239155.19
57636Q10,2018-12-31,-0.061769605,194498.14
57636Q10,2019-01-31,0.12091184,194498.14
57636Q10,2019-02-28,0.06460476,194498.14
57636Q10,2019-03-29,0.047515154,194498.14
57636Q10,2019-04-30,0.08120621,194498.14
57636Q10,2019-05-31,-0.010816574,194498.14
57636Q10,2019-06-28,0.051850915,194498.14
57636Q10,2019-07-31,0.030506968,194498.14
57636Q10,2019-08-30,0.033422709,194498.14
57636Q10,2019-09-30,-0.034829557,194498.14
